Date,000001.SS SSE Composite Index (China),^AEX AEX (Netherlands),^ATX ATX (Austria),^AXJO S&P/ASX 200 (Australia),^BFX BEL 20 (Belgium),^BSESN BSE Sensex (India),^BVSP Bovespa Index (Brazil),^FCHI CAC 40 (France),^GDAXI DAX (Germany),^GSPC S&P 500 (United States),^GSPTSE S&P/TSX Composite Index (Canada),^HSI Hang Seng Index (Hong Kong),^IBEX IBEX 35 (Spain),^ISEQ ISEQ 20 (Ireland),^IXIC NASDAQ Composite (United States),^JKSE Jakarta Composite Index (Indonesia),^KS11 KOSPI (South Korea),^MERV MERVAL (Argentina),^MXX IPC (Mexico),^N225 Nikkei 225 (Japan),^NSEBANK NSE Bank Index (India),^NSEI Nifty 50 (India),^NYA NYSE Composite (United States),^SET.BK SET Index (Thailand),^SSMI SMI (Switzerland),^STI Straits Times Index (Singapore),^TWII Taiwan Weighted Index (Taiwan)
2008-01-04,5361.57421875,500.6000061035156,4358.85009765625,6306.7998046875,4094.3798828125,20686.890625,61037.0,5446.7900390625,7808.68994140625,1411.6300048828125,13778.599609375,27519.689453125,14602.28515625,6977.1298828125,2504.64990234375,2765.18994140625,1863.9000244140625,2128.89990234375,28317.919921875,14691.41015625,10233.0810546875,6274.2998046875,9432.0302734375,821.7100219726562,8130.0,3437.7900390625,8221.0673828125
2008-01-07,5393.3427734375,500.6300048828125,4332.35009765625,6161.60009765625,4097.27978515625,20812.650390625,60772.0,5452.830078125,7817.169921875,1416.1800537109375,13618.900390625,27179.490234375,14666.9853515625,6859.830078125,2499.4599609375,2776.409912109375,1831.1400146484375,2103.699951171875,28152.560546875,14500.5498046875,10390.978515625,6279.10009765625,9462.240234375,808.3099975585938,8110.60009765625,3353.06005859375,7883.33984375
2008-01-08,5386.53076171875,497.2300109863281,4373.85986328125,6128.10009765625,4097.169921875,20873.330078125,62081.0,5495.669921875,7849.990234375,1390.18994140625,13541.7998046875,27112.900390625,14670.4853515625,6889.14013671875,2440.510009765625,2785.625,1826.22998046875,2141.0,28267.779296875,14528.669921875,10355.4794921875,6287.85009765625,9326.080078125,811.6900024414062,8316.400390625,3338.27001953125,7962.8798828125
2008-01-09,5435.80712890625,491.739990234375,4282.35986328125,6087.7001953125,4065.320068359375,20869.779296875,62674.0,5435.419921875,7782.7099609375,1409.1300048828125,13579.900390625,27615.849609375,14603.4853515625,6683.330078125,2474.550048828125,2830.262939453125,1844.469970703125,2089.60009765625,28401.609375,14599.16015625,10306.330078125,6272.0,9424.6904296875,820.469970703125,8339.7998046875,3344.530029296875,8085.029296875
2008-01-10,5456.541015625,484.1000061035156,4162.18017578125,6078.7001953125,4051.530029296875,20582.080078125,63515.0,5400.43017578125,7713.08984375,1420.3299560546875,13642.7001953125,27230.859375,14523.9853515625,6625.02978515625,2488.52001953125,2830.262939453125,1824.780029296875,2084.60009765625,29069.560546875,14388.1103515625,10266.73046875,6156.9501953125,9490.759765625,800.1799926757812,8290.7998046875,3311.070068359375,8057.2392578125
2008-01-11,5484.6767578125,481.8299865722656,4118.580078125,5981.60009765625,4022.929931640625,20827.44921875,61942.0,5371.41015625,7717.9501953125,1401.02001953125,13632.599609375,26867.009765625,14457.9853515625,6660.83984375,2439.93994140625,2830.262939453125,1782.27001953125,2082.89990234375,28723.8203125,14110.7900390625,10561.4267578125,6200.10009765625,9347.4697265625,796.469970703125,8159.7001953125,3287.340087890625,8029.279296875
2008-01-14,5497.90087890625,484.7200012207031,4142.9501953125,5980.0,4013.340087890625,20728.05078125,62188.0,5403.509765625,7732.02001953125,1416.25,13698.2998046875,26468.130859375,14431.8857421875,6728.4599609375,2478.300048828125,2810.3720703125,1765.8800048828125,2132.39990234375,28607.44921875,14110.7900390625,10698.2255859375,6206.7998046875,9439.33984375,791.1500244140625,8193.400390625,3218.139892578125,8173.37939453125
2008-01-15,5443.791015625,470.5400085449219,4012.39990234375,5960.0,3900.330078125,20251.08984375,59907.0,5250.81982421875,7566.3798828125,1380.949951171875,13316.7998046875,25837.779296875,13945.1865234375,6478.81982421875,2417.590087890625,2730.031005859375,1746.949951171875,2069.300048828125,27961.849609375,13972.6298828125,10465.578125,6074.25,9172.169921875,779.7899780273438,7973.89990234375,3154.580078125,8428.8076171875
2008-01-16,5290.60595703125,462.6099853515625,3907.840087890625,5809.7001953125,3801.3701171875,19868.109375,58777.0,5225.39013671875,7471.56982421875,1373.199951171875,13074.900390625,24450.849609375,13817.0859375,6468.52978515625,2394.590087890625,2592.31103515625,1704.969970703125,2065.800048828125,27343.5703125,13504.509765625,10346.830078125,5935.75,9073.4296875,773.7999877929688,7847.5,3058.489990234375,8179.50927734375
2008-01-17,5151.6259765625,460.25,3887.169921875,5796.10009765625,3767.5400390625,19700.8203125,57037.0,5157.08984375,7413.52978515625,1333.25,12795.599609375,25114.98046875,13775.5859375,6487.52978515625,2346.89990234375,2649.279052734375,1723.550048828125,2011.199951171875,26698.66015625,13783.4501953125,10261.380859375,5913.2001953125,8818.9501953125,791.25,7788.10009765625,3139.8798828125,8101.59912109375
2008-01-18,5180.51416015625,450.0799865722656,3898.280029296875,5747.2998046875,3695.1298828125,19013.69921875,57506.0,5092.39990234375,7314.169921875,1325.18994140625,12737.099609375,25201.869140625,13655.38671875,6533.759765625,2340.02001953125,2611.132080078125,1734.719970703125,2002.5,26713.830078125,13861.2900390625,9739.787109375,5705.2998046875,8794.8603515625,789.6699829101562,7692.0,3104.25,8184.619140625
2008-01-21,4914.43505859375,422.45001220703125,3712.610107421875,5580.39990234375,3492.47998046875,17605.349609375,53709.0,4744.4501953125,6790.18994140625,1325.18994140625,12132.099609375,23818.859375,12625.787109375,6261.02978515625,2340.02001953125,2485.87890625,1683.56005859375,1876.9000244140625,25284.880859375,13325.9404296875,9038.8447265625,5208.7998046875,8794.8603515625,766.530029296875,7287.10009765625,2917.14990234375,8110.16943359375
2008-01-22,4559.7509765625,433.2699890136719,3768.280029296875,5186.7998046875,3548.64990234375,16729.939453125,56097.0,4842.5400390625,6769.47021484375,1310.5,12640.900390625,21757.630859375,12839.6875,6496.8701171875,2292.27001953125,2294.52392578125,1609.02001953125,1943.5999755859375,26892.740234375,12573.0498046875,8682.349609375,4899.2998046875,8661.169921875,741.5399780273438,7487.89990234375,2866.550048828125,7581.93115234375
2008-01-23,4703.046875,417.1300048828125,3685.219970703125,5412.2998046875,3460.0,17594.0703125,54235.0,4636.759765625,6439.2099609375,1338.5999755859375,12657.400390625,24090.169921875,12254.5869140625,6490.02978515625,2316.409912109375,2476.278076171875,1628.4200439453125,1891.300048828125,27620.330078125,12829.0595703125,9259.0927734375,5203.39990234375,8805.6796875,740.6500244140625,7356.10009765625,2983.6201171875,7408.3720703125
