Date,000001.SS SSE Composite Index (China),^AEX AEX (Netherlands),^ATX ATX (Austria),^AXJO S&P/ASX 200 (Australia),^BFX BEL 20 (Belgium),^BSESN BSE Sensex (India),^BVSP Bovespa Index (Brazil),^FCHI CAC 40 (France),^GDAXI DAX (Germany),^GSPC S&P 500 (United States),^GSPTSE S&P/TSX Composite Index (Canada),^HSI Hang Seng Index (Hong Kong),^IBEX IBEX 35 (Spain),^ISEQ ISEQ 20 (Ireland),^IXIC NASDAQ Composite (United States),^JKSE Jakarta Composite Index (Indonesia),^KS11 KOSPI (South Korea),^MXX IPC (Mexico),^N225 Nikkei 225 (Japan),^NSEBANK NSE Bank Index (India),^NSEI Nifty 50 (India),^NYA NYSE Composite (United States),^SET.BK SET Index (Thailand),^SSMI SMI (Switzerland),^STI Straits Times Index (Singapore),^TWII Taiwan Weighted Index (Taiwan)
2008-01-07,0.005907743799022184,5.9923851615819167e-05,-0.0060981409992713976,-0.023291885484953468,0.0007080134142361958,0.0060607971804452505,-0.00435108108726733,0.0011083027877716997,0.0010853778768565958,0.003218075231744636,-0.011658072998010863,-0.012439075221402328,0.00442103951164916,-0.016954969159314097,-0.0020742723117205117,0.004049367089364089,-0.01773234813468457,-0.005856505780041526,-0.0130764136051396,0.015312266289059299,0.0007647797791931744,0.003197793391243131,-0.016441916207858065,-0.0023890633910538606,-0.024955455211716944,-0.041948400446561854
2008-01-08,-0.0012638390614256368,-0.00681459723813243,0.009535740661488308,-0.0054517331488627176,-2.6814071764321825e-05,0.0029112775890314784,0.021310827411129527,0.007825740947839398,0.004189701283731161,-0.018522757462586335,-0.005677378895182112,-0.002453009579210291,0.00023860271064428545,0.004263607024588522,-0.023867655055280403,0.003313570111604966,-0.0026850097945020773,0.00408430401120888,0.0019373669873221522,-0.0034221801204958194,0.0013925417508606917,-0.014494381378200947,0.004172851589373574,0.025057655688873755,-0.004420664643868539,0.010039076632527994
2008-01-09,0.009106481098184098,-0.011102616136835062,-0.02114165559754319,-0.006614392617214872,-0.007803994907871106,-0.00017012538412817152,0.009506704599330118,-0.011023715110420084,-0.00860768619735484,0.013532109841889144,0.002809603433896012,0.018380225313408112,-0.0045774533060409075,-0.030329900482219254,0.013851543180889807,0.015897354087995412,0.00993823554354174,0.0047231964225497025,0.004840070255574373,-0.004757521997215082,-0.0025239323633770325,0.01051810224320164,0.010758814206519526,0.0028096959908973386,0.001873469668665936,0.015223387883354013
2008-01-10,0.003807060054672674,-0.015658592113109444,-0.028465209863202078,-0.0014794847042172922,-0.003397882716681822,-0.01388134780185239,0.013329409883444185,-0.006458167543996933,-0.00898573633007609,0.007916711897125965,0.004613807258565889,-0.014039003059359505,-0.005458777950453758,-0.008761510285937803,0.005629583062749335,0.0,-0.010732509590572217,0.023245785694571957,-0.014561808016898752,-0.0038496613753627507,-0.018513726267797494,0.006985781881304964,-0.025040617876962188,-0.005892769105562902,-0.01005476361001868,-0.003443142631796079
2008-01-11,0.005143084579622833,-0.004700182678897067,-0.010530554980281572,-0.016102782427706137,-0.007084118913682306,0.01185099258768151,-0.02507763513941825,-0.0053881396021326425,0.0006299448009887632,-0.013688651328566238,-0.0007406398075584351,-0.013451734852490361,-0.004554563578046557,0.005390711532369238,-0.019714739278368077,0.0,-0.02357160419627085,-0.0119648428187428,-0.01946243977211676,0.0282997630122195,0.00698387992367707,-0.01521297982231897,-0.004647266132070804,-0.015939015212343408,-0.007192666782311544,-0.0034762013916269903
2008-01-14,0.0024082010475518626,0.005980080280385111,0.0058996788892168184,-0.0002675390671366679,-0.002386641633175161,-0.004783897537829007,0.003963591751488607,0.005958226060194703,0.00182134048319333,0.010811976648879808,0.004807768736046594,-0.014957730998224667,-0.0018068350939204917,0.010100706247624481,0.015599436132287378,-0.00705273486249122,-0.009238691213245585,-0.0040596084657399,0.0,0.012869515833114832,0.0010799970557015361,0.009780356708790966,-0.006701813049991721,0.00412157227821463,-0.02127523432753433,0.01778768532264303
2008-01-15,-0.009890664974186286,-0.029690417643008078,-0.032018599927837725,-0.0033500868852819744,-0.028562649269481936,-0.023279281594656403,-0.03736869535813004,-0.028664477630794816,-0.021655416370533635,-0.025240900594804327,-0.028245341942110584,-0.02410366549950987,-0.034305649672024666,-0.037807917629733775,-0.02480164840782441,-0.02900391735416791,-0.010777770168689683,-0.022826078947302784,-0.009839348004729699,-0.021986296584618144,-0.021586908944616102,-0.02871215492890599,-0.014462989536309161,-0.027155303932666137,-0.01994812965783023,0.03077285890570552
2008-01-16,-0.02854290908037474,-0.016996654665476913,-0.026404727513468333,-0.025541513040108235,-0.025699626069058016,-0.01909270923527563,-0.01904273780901241,-0.0048547590283429184,-0.012609606587070374,-0.005627885721787485,-0.018331989728941695,-0.055172770531042435,-0.009228458891551689,-0.0015895208733062395,-0.009559149615965294,-0.051763197167921736,-0.024323884210030466,-0.022359655050447052,-0.03407672134865637,-0.01141139788605642,-0.02306513573985711,-0.010823562988846526,-0.0077111979966599286,-0.015978686142106895,-0.03093406294311397,-0.030023158565587495
2008-01-17,-0.026620398503281507,-0.005114514733428977,-0.005303447830879896,-0.0023436736008138667,-0.008939279951404885,-0.00845562720806365,-0.030050441867866238,-0.013157025752579604,-0.007798447404612548,-0.02952417654491263,-0.021593060312203313,0.0267995353621532,-0.003008047316345695,0.002932992630579311,-0.020116796166643094,0.02173777799026873,0.010838647528381304,-0.023868029374507667,0.020444924891915454,-0.008292782785033908,-0.003806216000501475,-0.02844749052833724,0.022300546967408085,-0.007598069500214097,0.026263218381502987,-0.009570693719960001
2008-01-18,0.005591921613189276,-0.022344505205746816,0.0028540713852658155,-0.008455149108088374,-0.019406574203904473,-0.035500544229768054,0.008189110133050381,-0.012623223596931825,-0.013493128288230353,-0.006063769329588801,-0.004582367251065378,0.0034536644847761987,-0.008763815237246184,0.007100706044722395,-0.002935782078016652,-0.014503672962500061,0.006459854583379681,0.0005680290215386824,0.005631454577111177,-0.0521681573084993,-0.0357916399254026,-0.0027353375586787027,-0.0019988584279977666,-0.012416112507224242,-0.011412404992279813,0.010195213806434195
